Sample_ID,Depth_m,Porosity_pct,Permeability_mD,Bulk_Density_g_cm3,Grain_Density_g_cm3,Water_Saturation_pct,Facies
CP-101,2150.5,18.4,125.4,2.28,2.65,22.1,Sandstone
CP-102,2151.0,19.2,168.0,2.26,2.65,20.5,Sandstone
CP-103,2151.5,17.8,98.5,2.29,2.66,24.0,Sandstone
CP-104,2152.0,15.1,42.0,2.34,2.65,28.6,Silty Sandstone
CP-105,2152.5,12.3,14.2,2.40,2.66,35.0,Silty Sandstone
CP-106,2153.0,8.5,1.8,2.48,2.67,48.2,Shale
CP-107,2153.5,6.2,0.4,2.53,2.68,58.0,Shale
CP-108,2154.0,14.6,38.5,2.35,2.65,30.2,Silty Sandstone
CP-109,2154.5,20.1,210.0,2.24,2.65,18.5,Sandstone
CP-110,2155.0,22.4,340.5,2.20,2.65,15.2,High-Quality Sandstone
CP-111,2155.5,21.8,295.0,2.21,2.65,16.0,High-Quality Sandstone
CP-112,2156.0,23.5,410.2,2.18,2.64,13.8,High-Quality Sandstone
CP-113,2156.5,20.8,245.0,2.23,2.65,17.4,Sandstone
CP-114,2157.0,18.9,145.0,2.27,2.65,21.0,Sandstone
CP-115,2157.5,16.4,65.2,2.32,2.66,26.5,Sandstone
CP-116,2158.0,13.8,22.8,2.37,2.66,32.0,Silty Sandstone
CP-117,2158.5,11.2,8.4,2.42,2.67,39.5,Silty Sandstone
CP-118,2159.0,7.8,1.2,2.50,2.68,52.0,Shale
CP-119,2159.5,16.8,78.0,2.31,2.65,25.0,Sandstone
CP-120,2160.0,19.8,185.0,2.25,2.65,19.2,Sandstone
CP-121,2160.5,22.0,310.0,2.21,2.65,15.8,High-Quality Sandstone
CP-122,2161.0,24.1,480.0,2.16,2.64,12.5,High-Quality Sandstone
CP-123,2161.5,23.0,380.0,2.19,2.65,14.0,High-Quality Sandstone
CP-124,2162.0,20.5,225.0,2.23,2.65,18.0,Sandstone
CP-125,2162.5,17.5,88.0,2.30,2.66,23.5,Sandstone
CP-126,2163.0,14.2,32.0,2.36,2.66,31.0,Silty Sandstone
CP-127,2163.5,10.5,5.6,2.44,2.67,42.0,Silty Sandstone
CP-128,2164.0,15.8,55.0,2.33,2.65,27.8,Sandstone
CP-129,2164.5,19.0,155.0,2.27,2.65,20.8,Sandstone
CP-130,2165.0,21.5,270.0,2.22,2.65,16.5,High-Quality Sandstone
CP-131,2165.5,22.8,360.0,2.19,2.65,14.5,High-Quality Sandstone
CP-132,2166.0,18.2,115.0,2.28,2.65,22.5,Sandstone
CP-133,2166.5,15.5,48.0,2.34,2.66,28.0,Sandstone
CP-134,2167.0,12.8,18.0,2.39,2.66,34.5,Silty Sandstone
CP-135,2167.5,9.2,2.8,2.46,2.67,46.0,Shale
CP-136,2168.0,16.0,60.0,2.33,2.65,27.0,Sandstone
CP-137,2168.5,19.5,175.0,2.25,2.65,19.8,Sandstone
CP-138,2169.0,21.0,250.0,2.23,2.65,17.0,Sandstone
CP-139,2169.5,22.2,325.0,2.20,2.65,15.5,High-Quality Sandstone
CP-140,2170.0,20.0,200.0,2.24,2.65,18.8,Sandstone
CP-141,2170.5,17.2,82.0,2.30,2.66,24.2,Sandstone
CP-142,2171.0,14.5,35.0,2.35,2.66,30.5,Silty Sandstone
CP-143,2171.5,11.8,11.0,2.41,2.67,38.0,Silty Sandstone
CP-144,2172.0,8.0,1.5,2.49,2.68,50.0,Shale
CP-145,2172.5,15.0,45.0,2.34,2.66,29.0,Sandstone
CP-146,2173.0,18.5,135.0,2.28,2.65,21.5,Sandstone
CP-147,2173.5,20.8,240.0,2.23,2.65,17.6,Sandstone
CP-148,2174.0,23.2,390.0,2.18,2.64,13.2,High-Quality Sandstone
CP-149,2174.5,19.6,180.0,2.25,2.65,19.5,Sandstone
CP-150,2175.0,16.5,68.0,2.32,2.66,26.0,Sandstone
