Pressure_bar,Oil_FVF_m3_m3,Solution_GOR_m3_m3,Oil_Viscosity_cP,Gas_FVF_m3_m3,Oil_Density_kg_m3
50,1.065,22.5,2.15,0.0210,815.0
75,1.082,34.0,1.92,0.0142,810.0
100,1.101,46.5,1.74,0.0105,804.0
125,1.122,60.2,1.58,0.0082,798.0
150,1.145,75.0,1.45,0.0068,791.0
175,1.170,91.2,1.33,0.0057,784.0
200,1.198,108.5,1.22,0.0049,776.0
210,1.210,116.0,1.18,0.0046,773.0
220,1.222,123.8,1.14,0.0044,770.0
230,1.235,132.0,1.10,0.0042,766.0
240,1.248,140.5,1.07,0.0040,763.0
250,1.262,149.5,1.04,0.0038,759.0
260,1.258,149.5,1.06,0.0038,760.5
270,1.255,149.5,1.08,0.0038,762.0
280,1.251,149.5,1.10,0.0038,763.5
290,1.248,149.5,1.12,0.0038,765.0
300,1.245,149.5,1.14,0.0038,766.5
310,1.242,149.5,1.16,0.0038,768.0
320,1.239,149.5,1.18,0.0038,769.5
330,1.236,149.5,1.20,0.0038,771.0
